ⲰϤ Щ
ⲱϥ щ
ⲒⲨ Ю
ⲓⲩ ю
ⲒⲀ Я
ⲓⲁ я
Ⲁ А
ⲁ а
Ϭ Б
ϭ б
Ⲃ В
ⲃ в
Ⲅ Г
ⲅ г
Ⲇ Д
ⲇ д
Ⲉ̈ Ё
ⲉ̈ ё
Ⲉ Е
ⲉ е
Ⲝ Ж
ⲝ ж
Ⲍ З
ⲍ з
Ⲓ И
ⲓ и
Ⲓ̈ Й
ⲓ̈ й
Ⲕ К
ⲕ к
Ⲗ Л
ⲗ л
Ⲙ М
ⲙ м
Ⲛ Н
ⲛ н
Ⲟ О
ⲟ о
Ⲡ П
ⲡ п
Ⲣ Р
ⲣ р
Ⲥ С
ⲥ с
Ⲧ Т
ⲧ т
Ⲩ У
ⲩ у
Ⲫ Ф
ⲫ ф
Ⲭ Х
ⲭ х
Ⲑ Ц
ⲑ ц
Ϥ Ч
ϥ ч
Ⲱ Ш
ⲱ ш
Ⲏ Ы
ⲏ ы
Ⲋ Ь
ⲋ ь
