А Ⲁ
а ⲁ
Б Ϭ
б ϭ
В Ⲃ
в ⲃ
Г Ⲅ
г ⲅ
Д Ⲇ
д ⲇ
Е Ⲉ
е ⲉ
Ё Ⲉ̈
ё ⲉ̈
Ж Ⲝ
ж ⲝ
З Ⲍ
з ⲍ
И Ⲓ
и ⲓ
Й Ⲓ̈
й ⲓ̈
К Ⲕ
к ⲕ
Л Ⲗ
л ⲗ
М Ⲙ
м ⲙ
Н Ⲛ
н ⲛ
О Ⲟ
о ⲟ
П Ⲡ
п ⲡ
Р Ⲣ
р ⲣ
С Ⲥ
с ⲥ
Т Ⲧ
т ⲧ
У Ⲩ
у ⲩ
Ф Ⲫ
ф ⲫ
Х Ⲭ
х ⲭ
Ц Ⲑ
ц ⲑ
Ч Ϥ
ч ϥ
Ш Ⲱ
ш ⲱ
Щ ⲰϤ
щ ⲱϥ
Ъ !
ъ !
Ы Ⲏ
ы ⲏ
Ь Ⲋ
ь ⲋ
Э Ⲉ
э ⲉ
Ю ⲒⲨ
ю ⲓⲩ
Я ⲒⲀ
я ⲓⲁ
