# autogenerated from glag2cyrl
ѩ ⱗ
Ѩ Ⱗ
ѧ ⱕ
Ѧ Ⱕ
ђ ⰼ
Ђ Ⰼ
ѡ ⱉ
Ѡ Ⱉ
ꙗ ⱝ
Ꙗ Ⱝ
ѕ ⰷ
Ѕ Ⰷ
ѭ ⱙ
Ѭ Ⱙ
ѫ ⱘ
Ѫ Ⱘ
ѵ ⱛ
Ѵ Ⱛ
i ⰹ
I Ⰹ
ѳ ⱚ
Ѳ Ⱚ
ѣ ⱑ
Ѣ Ⱑ
я ⱔ
Я Ⱔ
ю ⱓ
Ю Ⱓ
ь ⱐ
Ь Ⱐ
ъ ⱏ
Ъ Ⱏ
щ ⱋ
Щ Ⱋ
ш ⱎ
Ш Ⱎ
ч ⱍ
Ч Ⱍ
ц ⱌ
Ц Ⱌ
х ⱈ
Х Ⱈ
ф ⱇ
Ф Ⱇ
у ⱆ
У Ⱆ
т ⱅ
Т Ⱅ
с ⱄ
С Ⱄ
р ⱃ
Р Ⱃ
п ⱂ
П Ⱂ
о ⱁ
О Ⱁ
н ⱀ
Н Ⱀ
м ⰿ
М Ⰿ
л ⰾ
Л Ⰾ
к ⰽ
К Ⰽ
й ⰺ
Й Ⰺ
и ⰻ
И Ⰻ
з ⰸ
З Ⰸ
ж ⰶ
Ж Ⰶ
ё ⱖ
Ё Ⱖ
е ⰵ
Е Ⰵ
д ⰴ
Д Ⰴ
г ⰳ
Г Ⰳ
в ⰲ
В Ⰲ
б ⰱ
Б Ⰱ
а ⰰ
А Ⰰ
ы ⱏⰹ
Ы ⰟⰉ
