# autogenerated from tfng2cyrl
о ⵧ
о --
зъ ⵥ
з ⵣ
й ⵢ
в ⵡ
в ⵠ
тъ ⵟ
ч ⵞ
т ⵜ
ш ⵛ
ц ⵚ
с ⵙ
г ⵖ
ръ ⵕ
р ⵔ
у ⵓ
п ⵒ
н ⵏ
м ⵎ
л ⵍ
ж ⵊ
и ⵉ
к ⵇ
х ⵅ
ъ ⵄ
х ⵃ
х ⵀ
к ⴽ
ф ⴼ
е ⴻ
дъ ⴹ
д ⴷ
г ⴳ
б ⴱ
а ⴰ
ы ⵉⵄ
ё ⵢⵧ
ю ⵢⵓ
я ⵢⴰ
ш ⵙⵀ
